,file,precision,recall,f1_score,tp,fn,fp
2,cnn-10-8-6.csv,0.48333333333333334,0.8285714285714286,0.6105263157894737,29,6,31
4,cnn-10-9-6.csv,0.48333333333333334,0.8285714285714286,0.6105263157894737,29,6,31
13,cnn-20-9-6.csv,0.48333333333333334,0.8285714285714286,0.6105263157894737,29,6,31
53,uae-10-9-5.csv,0.48333333333333334,0.8285714285714286,0.6105263157894737,29,6,31
55,uae-10.csv,0.48333333333333334,0.8285714285714286,0.6105263157894737,29,6,31
56,uae-20-10-5.csv,0.48333333333333334,0.8285714285714286,0.6105263157894737,29,6,31
57,uae-20-10-6.csv,0.48333333333333334,0.8285714285714286,0.6105263157894737,29,6,31
61,uae-20-9-6.csv,0.48333333333333334,0.8285714285714286,0.6105263157894737,29,6,31
1,cnn-10-8-5.csv,0.47540983606557374,0.8285714285714286,0.6041666666666667,29,6,32
3,cnn-10-9-5.csv,0.47540983606557374,0.8285714285714286,0.6041666666666667,29,6,32
5,cnn-10.csv,0.47540983606557374,0.8285714285714286,0.6041666666666667,29,6,32
6,cnn-20-10-5.csv,0.47540983606557374,0.8285714285714286,0.6041666666666667,29,6,32
8,cnn-20-7-5.csv,0.47540983606557374,0.8285714285714286,0.6041666666666667,29,6,32
9,cnn-20-7-6.csv,0.47540983606557374,0.8285714285714286,0.6041666666666667,29,6,32
10,cnn-20-8-5.csv,0.47540983606557374,0.8285714285714286,0.6041666666666667,29,6,32
11,cnn-20-8-6.csv,0.47540983606557374,0.8285714285714286,0.6041666666666667,29,6,32
12,cnn-20-9-5.csv,0.47540983606557374,0.8285714285714286,0.6041666666666667,29,6,32
51,uae-10-8-5.csv,0.47540983606557374,0.8285714285714286,0.6041666666666667,29,6,32
58,uae-20-8-5.csv,0.46774193548387094,0.8285714285714286,0.5979381443298969,29,6,33
59,uae-20-8-6.csv,0.46774193548387094,0.8285714285714286,0.5979381443298969,29,6,33
60,uae-20-9-5.csv,0.46774193548387094,0.8285714285714286,0.5979381443298969,29,6,33
28,lstm-new-5-9-5.csv,0.49122807017543857,0.8,0.6086956521739131,28,7,29
29,lstm-new-5-9-6.csv,0.49122807017543857,0.8,0.6086956521739131,28,7,29
18,lstm-new-20-8-5.csv,0.4827586206896552,0.8,0.6021505376344086,28,7,30
19,lstm-new-20-8-6.csv,0.4827586206896552,0.8,0.6021505376344086,28,7,30
20,lstm-new-20-9-5.csv,0.4827586206896552,0.8,0.6021505376344086,28,7,30
21,lstm-new-20-9-6.csv,0.4827586206896552,0.8,0.6021505376344086,28,7,30
22,lstm-new-40-8-5.csv,0.4827586206896552,0.8,0.6021505376344086,28,7,30
23,lstm-new-40-8-6.csv,0.4827586206896552,0.8,0.6021505376344086,28,7,30
24,lstm-new-40-9-5.csv,0.4827586206896552,0.8,0.6021505376344086,28,7,30
25,lstm-new-40-9-6.csv,0.4827586206896552,0.8,0.6021505376344086,28,7,30
26,lstm-new-5-8-5.csv,0.4827586206896552,0.8,0.6021505376344086,28,7,30
27,lstm-new-5-8-6.csv,0.4827586206896552,0.8,0.6021505376344086,28,7,30
0,cnn-10-10-6.csv,0.4745762711864407,0.8,0.5957446808510638,28,7,31
7,cnn-20-10-6.csv,0.4745762711864407,0.8,0.5957446808510638,28,7,31
14,lstm-new-10-8-5.csv,0.4745762711864407,0.8,0.5957446808510638,28,7,31
15,lstm-new-10-8-6.csv,0.4745762711864407,0.8,0.5957446808510638,28,7,31
16,lstm-new-10-9-5.csv,0.4745762711864407,0.8,0.5957446808510638,28,7,31
17,lstm-new-10-9-6.csv,0.4745762711864407,0.8,0.5957446808510638,28,7,31
52,uae-10-8-6.csv,0.4745762711864407,0.8,0.5957446808510638,28,7,31
49,uae-10-10-5.csv,0.48214285714285715,0.7714285714285715,0.5934065934065934,27,8,29
50,uae-10-10-6.csv,0.48214285714285715,0.7714285714285715,0.5934065934065934,27,8,29
54,uae-10-9-6.csv,0.47368421052631576,0.7714285714285715,0.5869565217391304,27,8,30
33,pca-10-8-5.csv,0.4634146341463415,0.5428571428571428,0.5,19,16,22
46,pca-5-8-6.csv,0.4523809523809524,0.5428571428571428,0.49350649350649345,19,16,23
32,pca-10-7-5.csv,0.4222222222222222,0.5428571428571428,0.47500000000000003,19,16,26
38,pca-20-10-6.csv,0.5142857142857142,0.5142857142857142,0.5142857142857142,18,17,17
43,pca-5-10-5.csv,0.5142857142857142,0.5142857142857142,0.5142857142857142,18,17,17
45,pca-5-8-5.csv,0.5142857142857142,0.5142857142857142,0.5142857142857142,18,17,17
40,pca-20-8-6.csv,0.4186046511627907,0.5142857142857142,0.4615384615384615,18,17,25
30,pca-10-10-5.csv,0.5,0.4857142857142857,0.49275362318840576,17,18,17
31,pca-10-10-6.csv,0.5,0.4857142857142857,0.49275362318840576,17,18,17
34,pca-10-8-6.csv,0.5,0.4857142857142857,0.49275362318840576,17,18,17
35,pca-10-9-5.csv,0.5,0.4857142857142857,0.49275362318840576,17,18,17
41,pca-20-9-5.csv,0.5,0.4857142857142857,0.49275362318840576,17,18,17
42,pca-20-9-6.csv,0.5,0.4857142857142857,0.49275362318840576,17,18,17
44,pca-5-10-6.csv,0.5,0.4857142857142857,0.49275362318840576,17,18,17
47,pca-5-9-5.csv,0.5,0.4857142857142857,0.49275362318840576,17,18,17
36,pca-10-9-6.csv,0.4857142857142857,0.4857142857142857,0.4857142857142857,17,18,18
37,pca-20-10-5.csv,0.4857142857142857,0.4857142857142857,0.4857142857142857,17,18,18
